tab_fts_col_1,tab_fts_col_2,tab_fts_col_3,tab_fts_col_4,tab_fts_col_5,tab_fts_col_6,tab_fts_col_7,tab_fts_col_8,tab_fts_col_9,tab_fts_col_10,T1,T2
0.9202251,0.83715403,0.7444631,0.4838964,0.88649577,0.94518733,0.887672,0.26136124,0.86422735,0.3503671,0.97625023,0.0075151534
0.41308612,0.71005833,0.7898695,0.3172602,0.9792702,0.6496565,0.8809981,0.5559377,0.74160314,0.77054405,0.21196307,0.0002808411
0.26357764,0.64926934,0.55442876,0.71718526,0.35413936,0.5460139,0.8121854,0.81069636,0.71423995,0.54193586,0.96111834,0.9859359
0.7603151,0.47758964,0.40716162,0.7609289,0.6571192,0.41327354,0.13389795,0.4825971,0.19243696,0.41948444,0.83599776,0.42761025
0.71393394,0.5775407,0.2523693,0.008162768,0.11963474,0.32029423,0.19672784,0.5700038,0.53494984,0.38979146,0.9912102,0.06066703
0.52488,0.53883916,0.9093551,0.4666294,0.07835089,0.1459373,0.27560863,0.798954,0.25510833,0.6094293,0.0029015185,0.9938723
0.34339172,0.5910269,0.65917647,0.39725676,0.999278,0.351893,0.72140664,0.6375827,0.81305385,0.9762257,0.26682225,0.00036166294
0.7480228,0.79356736,0.30065116,0.8007986,0.5488463,0.4733262,0.6751259,0.021358684,0.10231682,0.29217738,0.9993957,0.9732606
0.52072996,0.45551732,0.00020694848,0.86219645,0.02373862,0.8815506,0.82281774,0.9366991,0.31396344,0.179707,0.999845,0.9998981
0.5647773,0.41131225,0.55949926,0.1044667,0.111434296,0.9272853,0.21855573,0.27028114,0.5572422,0.48686197,0.055462893,0.47043195
0.09630331,0.57115775,0.21733853,0.3771505,0.017530339,0.24904206,0.6510028,0.12313782,0.6613554,0.8604208,0.99891365,0.98919404
0.8232371,0.77659225,0.24793679,0.24684592,0.4726551,0.94360256,0.6258865,0.83252966,0.8671034,0.1344494,0.9997503,0.043330163
0.89284736,0.9270068,0.78091717,0.56135964,0.7757679,0.6194136,0.0056944555,0.11628213,0.10954565,0.55386317,0.9232937,0.018516397
0.6012829,0.12668191,0.8157364,0.8024722,0.6697838,0.13453361,0.6602064,0.3752598,0.5428376,0.4185796,2.4938532e-05,0.9183986
0.6533943,0.49604207,0.027636321,0.35964888,0.6257736,0.99168634,0.20687449,0.152719,0.36436847,0.5509126,0.99975604,0.06603318
0.6468215,0.8879208,0.14298978,0.8162537,0.6097234,0.029242694,0.7668887,0.537688,0.79992884,0.40886804,0.9999709,0.98105717
0.7315846,0.36166173,0.60175824,0.5995284,0.92006797,0.09616709,0.8395424,0.39362657,0.14059623,0.28613433,0.017550701,0.026534187
0.08893344,0.03383238,0.71070445,0.7420036,0.47037122,0.8643162,0.58840615,0.75736254,0.9359825,0.7903636,3.3597786e-05,0.9784394
0.6575586,0.020573596,0.764261,0.16434038,0.2508177,0.7145072,0.607656,0.25439063,0.8437143,0.056551293,3.413346e-05,0.1301266
0.4268195,0.26810926,0.13159685,0.03921054,0.025231827,0.2715503,0.46185344,0.72624326,0.4748717,0.9040508,0.9299968,0.30627847
0.084438324,0.16548322,0.6254176,0.62278897,0.83822703,0.93549275,0.14198647,0.2593738,0.42746142,0.0009032855,0.0003787527,0.026007807
0.04673871,0.64137065,0.9688213,0.8504249,0.2956743,0.6109353,0.45036477,0.5845752,0.5617683,0.7332281,0.0022893702,0.9988115
0.36237758,0.27968466,0.47812024,0.25573352,0.33951142,0.44037634,0.84350085,0.93051064,0.82974136,0.52569973,0.12655604,0.13235037
0.23040031,0.4266914,0.6104897,0.5456289,0.9747232,0.6803703,0.73994625,0.96695596,0.41443804,0.35537982,0.086761534,0.0016829153
0.8638556,0.11753186,0.5173791,0.13206811,0.7168597,0.3960597,0.5654213,0.18327984,0.14484777,0.48805627,0.0021882004,0.002242389
0.19725947,0.5349082,0.29024804,0.30417356,0.5910654,0.9217191,0.8052639,0.7239414,0.55917376,0.9222985,0.9836903,0.036310177
0.5655311,0.29308784,0.78315216,0.937958,0.6310825,0.65446615,0.9246959,0.51818764,0.12781438,0.84268224,0.00032092578,0.9729576
0.5071532,0.33622348,0.18771456,0.0835676,0.9394089,0.020908797,0.5122962,0.6806733,0.90883833,0.70725334,0.91071,4.8753343e-05
0.99655074,0.9921171,0.1794204,0.7954125,0.6598241,0.7264679,0.9909005,0.83661926,0.39151728,0.9374656,0.9999989,0.973042
0.60274327,0.34752554,0.378162,0.8407026,0.19942495,0.4574287,0.064946555,0.2579655,0.13640673,0.3427235,0.10002753,0.99833006
0.8596175,0.20037071,0.43960533,0.9060445,0.7954273,0.038122248,0.48850617,0.5251461,0.8352832,0.5969652,0.011951871,0.9695663
0.5754224,0.023554439,0.96444917,0.99996203,0.22699034,0.3572537,0.3284021,0.24784075,0.10957504,0.6889381,2.3380798e-07,0.99954563
0.8883939,0.7440448,0.44134778,0.4623776,0.27835563,0.058391985,0.9396846,0.09962278,0.27052584,0.9474485,0.9964437,0.8750854
0.40991804,0.9625123,0.55282235,0.43171167,0.95059884,0.09161385,0.27178198,0.34639445,0.85350263,0.76641196,0.996198,0.0011429535
0.56875026,0.118051745,0.97757566,0.28809232,0.2325496,0.867468,0.74873024,0.49329472,0.8780794,0.46328965,2.9323426e-06,0.6106486
0.72847843,0.4849771,0.281476,0.2061746,0.91861385,0.058246695,0.33707315,0.6900501,0.60006905,0.4332186,0.94580525,0.00020919522
0.4110052,0.15075384,0.6823788,0.5072898,0.17386794,0.7511157,0.7943851,0.22474682,0.09028953,0.81688535,0.0001377794,0.97760713
0.8821946,0.13170557,0.27853572,0.468714,0.5919981,0.29528418,0.90782565,0.45184684,0.100337334,0.81905174,0.22369808,0.07042283
0.37906814,0.11415134,0.56181294,0.64159375,0.98709154,0.19513866,0.20720215,0.9474195,0.86464083,0.61605406,0.0024143988,0.0043430952
0.42369214,0.50813144,0.6607279,0.49932948,0.34177238,0.19280848,0.46447313,0.37555304,0.81544524,0.015297186,0.08876011,0.94008714
0.53473413,0.6153026,0.794873,0.7197364,0.1743699,0.743991,0.1151107,0.9177545,0.68977004,0.11191337,0.02769762,0.9979778
0.9378962,0.888868,0.8954042,0.42999157,0.7885984,0.9695787,0.26607928,0.76520205,0.24311812,0.2853156,0.08749352,0.0020030083
0.9419721,0.5932379,0.65081954,0.42599356,0.13568898,0.47046345,0.72311443,0.51015115,0.60454917,0.7974204,0.23156364,0.95388675
0.021541711,0.77175975,0.20375498,0.0748744,0.69626254,0.16562493,0.068114236,0.060548395,0.5583596,0.51703763,0.9997782,0.00051742536
0.23704086,0.2018204,0.80959815,0.76738816,0.81122047,0.75734013,0.095862046,0.8828784,0.37761754,0.21966451,7.819831e-05,0.082015626
0.25185892,0.8692547,0.07675054,0.59032446,0.48913264,0.4917164,0.80488086,0.15204239,0.98852247,0.3145815,0.99999404,0.9007373
0.56942457,0.30076727,0.6932826,0.8712766,0.4241098,0.9920665,0.55543566,0.8926243,0.48767203,0.3411523,0.0044463826,0.986262
0.27542025,0.17553084,0.7818312,0.72570413,0.10777283,0.5017921,0.8934767,0.42406625,0.22217532,0.6943865,6.6416396e-05,0.999316
0.44312224,0.55915755,0.5509464,0.5193759,0.8531585,0.94662935,0.914922,0.19645165,0.86799985,0.31775483,0.85135674,0.009787646
0.4138709,0.15117167,0.96843,0.45100418,0.33455142,0.76995385,0.80203813,0.09164816,0.087335534,0.0885783,2.055954e-06,0.43128717
0.90346086,0.19407846,0.9145894,0.08468198,0.94418687,0.14121565,0.3615299,0.34555542,0.32985702,0.7366155,2.0549644e-05,5.4646825e-05
0.18727168,0.74087065,0.23605216,0.7980432,0.77895457,0.9393957,0.7826932,0.36494517,0.51065224,0.626869,0.9998497,0.8143103
0.9128547,0.21370307,0.6599271,0.19154057,0.7592497,0.028975923,0.4201374,0.301381,0.77353287,0.9177154,0.0005906221,0.0009179631
0.84409374,0.79375124,0.66467875,0.9782289,0.8021879,0.2748444,0.7890142,0.69266164,0.39952046,0.07679747,0.956324,0.9707324
0.7993056,0.20335662,0.5700469,0.7457637,0.3530364,0.43438226,0.5753966,0.46710855,0.7530424,0.0059387535,0.0038908066,0.9870641
0.12230211,0.2789979,0.63558435,0.25975364,0.0020838787,0.70121455,0.19307858,0.32495555,0.28393644,0.1523692,0.0018324857,0.98312724
0.63640344,0.33384857,0.24301378,0.7963969,0.17101431,0.65053976,0.9997942,0.8378019,0.42371762,0.6817012,0.9834857,0.99929166
0.75409037,0.71907705,0.55957055,0.5846446,0.09127072,0.600471,0.3815222,0.86758083,0.31309888,0.57659507,0.943658,0.9944798
0.09775913,0.9525453,0.20448904,0.22038394,0.5540285,0.34973326,0.44212967,0.037098497,0.23488444,0.7735331,0.99999416,0.013331167
0.53233504,0.060842436,0.29426855,0.78363675,0.64191425,0.023984851,0.569876,0.21734008,0.9757498,0.783687,0.0066910344,0.97307736
0.1871309,0.90398395,0.54380596,0.4569114,0.8820414,0.45860395,0.72416764,0.39902532,0.9040444,0.69002503,0.99548537,0.002541575
0.9042671,0.008123047,0.6541858,0.28642517,0.06987948,0.10375646,0.06673307,0.5502676,0.30687568,0.16627716,3.4050263e-05,0.9446457
0.2065187,0.30653706,0.8634701,0.5490743,0.9950821,0.285032,0.068726815,0.30118814,0.99259496,0.74309915,5.786458e-05,0.013075694
0.39690554,0.18295194,0.87794054,0.82407725,0.7749599,0.05729004,0.5567194,0.23501356,0.119685195,0.7816131,1.5431939e-05,0.7380289
0.29022664,0.96962345,0.34863323,0.10784968,0.3885892,0.4476783,0.7522108,0.9499143,0.817057,0.9309413,0.99984026,0.0076975804
0.7638684,0.033457126,0.03862277,0.11711787,0.628325,0.4145466,0.84892565,0.2840579,0.48925203,0.70678574,0.48725346,0.002141763
0.097391225,0.5754712,0.1577516,0.071671575,0.6123818,0.07805252,0.47189498,0.61451274,0.93910265,0.9212722,0.99652714,0.0005767621
0.10415078,0.50810695,0.04031971,0.16079682,0.13240634,0.4989599,0.3282364,0.7246758,0.108177245,0.30566195,0.9995498,0.7297828
0.20635544,0.81139565,0.88746184,0.53941715,0.9905402,0.53590345,0.773131,0.32402864,0.23882996,0.7837605,0.13583563,0.001980646
0.89896107,0.18551789,0.5326686,0.32626963,0.31654257,0.44687697,0.43307745,0.3573469,0.91497076,0.73174417,0.005969105,0.5768275
0.6201738,0.46007842,0.2829663,0.44842196,0.094903715,0.38600206,0.6178588,0.9311409,0.49828866,0.24555165,0.96954435,0.96345454
0.08791557,0.906213,0.9184252,0.997706,0.7778886,0.26263782,0.26455888,0.68821687,0.6797327,0.6603292,0.35770008,0.97158235
0.1711346,0.6341564,0.36798608,0.91730005,0.79327357,0.32083684,0.9861158,0.6664988,0.01743876,0.46308824,0.9994413,0.83501995
0.016252788,0.6428034,0.44287303,0.89808774,0.32147294,0.4741848,0.5147671,0.14043953,0.7128923,0.83047634,0.9786251,0.9993905
0.77915394,0.49054906,0.6096865,0.21268241,0.47661424,0.11207188,0.32142192,0.2847797,0.44462535,0.93012637,0.0414603,0.01029071
0.7861776,0.51195604,0.83093053,0.20681226,0.9380842,0.57818466,0.0756857,0.31371766,0.9826849,0.6133341,0.0040577142,0.0003177189
0.20225771,0.2207153,0.1423467,0.14309682,0.87158954,0.41708365,0.36267665,0.24546361,0.90491045,0.58499527,0.8302863,0.00038235623
0.27057022,0.76938415,0.6333798,0.66013056,0.7504297,0.16097729,0.6004598,0.5176429,0.3404785,0.73062384,0.9783075,0.139198
0.67976385,0.8047853,0.71791303,0.14440927,0.640504,0.12348677,0.46224728,0.65483254,0.37187004,0.5172458,0.8924507,0.0014817211
