I1,I2,T1,T2,Y
0.3773498,0.8579718,0.204586,0.653655,1.0
0.85538006,0.52627724,0.551487,0.315719,1.0
0.15091017,0.44626,0.551487,0.315719,0.0
0.2739489,0.0348047,0.551487,0.653655,0.0
0.18219002,0.6487323,0.204586,0.315719,1.0
0.35655963,0.054860905,0.204586,0.315719,0.0
0.66345066,0.5310738,0.204586,0.653655,0.0
0.4511806,0.24279258,0.204586,0.653655,0.0
0.79726976,0.5317545,0.551487,0.653655,0.0
0.42765236,0.9815252,0.204586,0.653655,1.0
0.94962305,0.52468324,0.204586,0.315719,1.0
0.78421646,0.52945304,0.551487,0.315719,1.0
0.10048858,0.640224,0.551487,0.653655,0.0
0.26395497,0.95627296,0.551487,0.315719,1.0
0.29282492,0.97851366,0.204586,0.315719,1.0
0.06624386,0.10268214,0.551487,0.315719,0.0
0.1725228,0.7351403,0.204586,0.315719,1.0
0.87377435,0.5234892,0.204586,0.653655,0.0
0.6999626,0.5223824,0.204586,0.315719,1.0
0.6690195,0.45999992,0.551487,0.653655,0.0
0.32394186,0.9174487,0.204586,0.653655,1.0
0.8295821,0.5254126,0.204586,0.653655,0.0
0.24700035,0.9871328,0.204586,0.315719,1.0
0.83296365,0.5269024,0.551487,0.315719,1.0
0.25341526,0.32646573,0.551487,0.315719,0.0
0.2564022,0.61815923,0.551487,0.315719,0.0
0.27299127,0.011881968,0.551487,0.315719,0.0
0.27099147,0.47396532,0.204586,0.315719,1.0
0.24680614,0.7654062,0.204586,0.653655,1.0
0.40300173,0.98962015,0.551487,0.315719,1.0
0.49479005,0.71352315,0.204586,0.315719,1.0
0.5527364,0.056384906,0.551487,0.653655,0.0
0.56381905,0.11674112,0.204586,0.653655,0.0
0.4690614,0.5378404,0.551487,0.315719,1.0
0.30689958,0.032923188,0.204586,0.653655,0.0
0.9170977,0.5292593,0.204586,0.653655,0.0
0.3650745,0.19238012,0.204586,0.653655,0.0
0.95712477,0.52768725,0.551487,0.315719,1.0
0.25150326,0.10504984,0.204586,0.315719,0.0
0.22633536,0.936846,0.551487,0.315719,0.0
0.6320483,0.8725927,0.551487,0.315719,1.0
0.18077815,0.8945241,0.551487,0.653655,0.0
0.57479423,0.72229797,0.204586,0.315719,1.0
0.4158702,0.9392686,0.204586,0.653655,1.0
0.42462936,0.4934235,0.204586,0.653655,0.0
0.2335234,0.79560566,0.204586,0.653655,1.0
0.52010304,0.018407285,0.204586,0.315719,0.0
0.65704554,0.038045596,0.204586,0.315719,0.0
0.30057892,0.13808423,0.204586,0.315719,0.0
0.16468297,0.5817834,0.551487,0.653655,0.0
0.6311038,0.22794813,0.551487,0.653655,0.0
0.47062743,0.499103,0.551487,0.653655,0.0
0.14694022,0.14906688,0.551487,0.315719,0.0
0.3346634,0.77196854,0.204586,0.315719,1.0
0.7449872,0.5106662,0.204586,0.653655,0.0
0.6682101,0.9871387,0.204586,0.653655,1.0
0.13910806,0.7755243,0.204586,0.315719,1.0
0.40479973,0.23456475,0.204586,0.653655,0.0
0.4076367,0.89870876,0.204586,0.653655,1.0
0.4083386,0.46088478,0.204586,0.315719,1.0
0.25241596,0.868583,0.551487,0.653655,0.0
0.07543708,0.7953623,0.551487,0.315719,1.0
0.26312664,0.4796979,0.204586,0.653655,1.0
0.75510216,0.5251463,0.551487,0.315719,1.0
0.49386913,0.68138164,0.204586,0.653655,0.0
0.7676431,0.15863173,0.204586,0.653655,0.0
0.3343611,0.35067907,0.204586,0.315719,0.0
0.20581864,0.31064275,0.204586,0.315719,0.0
0.16874403,0.48856714,0.551487,0.315719,0.0
0.7552078,0.52127284,0.204586,0.315719,1.0
0.80763817,0.49899185,0.204586,0.315719,1.0
0.774522,0.52406734,0.204586,0.315719,1.0
0.51892346,0.09553982,0.551487,0.315719,0.0
0.18307889,0.93368024,0.204586,0.653655,1.0
0.52008164,0.87797487,0.551487,0.315719,1.0
0.30079255,0.37328798,0.204586,0.315719,1.0
0.25386906,0.20938855,0.204586,0.315719,0.0
0.36419284,0.7409174,0.204586,0.315719,1.0
0.9288963,0.526975,0.204586,0.653655,0.0
0.20800851,0.81006855,0.204586,0.653655,1.0
0.3777416,0.4227701,0.204586,0.315719,0.0
0.19883788,0.016336603,0.551487,0.653655,0.0
0.39719155,0.097796865,0.204586,0.315719,0.0
0.4322319,0.90744895,0.204586,0.653655,1.0
0.46277595,0.32717615,0.551487,0.653655,0.0
0.34578368,0.8625329,0.204586,0.653655,1.0
0.33947495,0.8781501,0.551487,0.653655,0.0
0.112111986,0.26303202,0.551487,0.653655,0.0
0.4724579,0.91357875,0.204586,0.315719,1.0
0.8592441,0.5245771,0.204586,0.653655,0.0
0.2657346,0.9219079,0.204586,0.315719,1.0
0.3028056,0.83720124,0.551487,0.315719,0.0
0.60869473,0.36556336,0.551487,0.315719,0.0
0.3243669,0.8242631,0.204586,0.315719,1.0
0.53705204,0.5021559,0.204586,0.315719,1.0
0.53402823,0.52078015,0.551487,0.653655,0.0
0.19328433,0.1476799,0.204586,0.653655,0.0
0.28767547,0.82035637,0.551487,0.315719,0.0
0.3792745,0.5203803,0.551487,0.653655,0.0
0.45230734,0.44491735,0.204586,0.315719,0.0
0.6812846,0.33136356,0.551487,0.653655,0.0
0.26358876,0.82863283,0.204586,0.653655,1.0
0.16259976,0.59013593,0.551487,0.653655,0.0
0.15341921,0.63257885,0.204586,0.653655,1.0
0.2313579,0.5659008,0.204586,0.653655,1.0
0.09994657,0.9655176,0.551487,0.315719,1.0
0.25025475,0.95804244,0.551487,0.653655,0.0
0.399883,0.8721504,0.551487,0.653655,0.0
0.20104367,0.9340302,0.204586,0.315719,1.0
0.33211458,0.9368008,0.204586,0.653655,1.0
0.41984823,0.969899,0.551487,0.315719,1.0
0.40940648,0.39369133,0.204586,0.653655,0.0
0.25694397,0.90333945,0.204586,0.315719,1.0
0.85278064,0.5090994,0.204586,0.653655,0.0
0.5460881,0.97913754,0.551487,0.653655,0.0
0.046678275,0.1320155,0.204586,0.653655,0.0
0.37702644,0.3487536,0.204586,0.315719,0.0
0.2623327,0.06130706,0.204586,0.653655,0.0
0.39433002,0.97582304,0.551487,0.653655,0.0
0.84835505,0.5261093,0.551487,0.315719,1.0
0.19636649,0.6951374,0.551487,0.315719,0.0
0.3426082,0.9300638,0.551487,0.653655,0.0
0.6505178,0.470195,0.204586,0.315719,1.0
0.91347915,0.5039048,0.551487,0.653655,0.0
0.0775625,0.8098164,0.551487,0.315719,0.0
0.2964527,0.61357486,0.551487,0.653655,0.0
0.14928518,0.68791145,0.551487,0.315719,0.0
0.4077198,0.86613613,0.551487,0.653655,0.0
0.31841588,0.3114169,0.551487,0.315719,0.0
0.8346487,0.5269653,0.551487,0.315719,1.0
0.23695427,0.21825396,0.551487,0.315719,0.0
0.36197853,0.7852388,0.204586,0.315719,1.0
0.8635262,0.52633035,0.204586,0.315719,1.0
0.66389096,0.5301415,0.204586,0.653655,0.0
0.24260901,0.24534269,0.204586,0.315719,0.0
0.20786487,0.6439962,0.551487,0.315719,0.0
0.7425024,0.43172312,0.551487,0.315719,0.0
0.27419007,0.63363963,0.204586,0.653655,1.0
0.867639,0.555937,0.551487,0.315719,1.0
0.8042014,0.53148884,0.551487,0.315719,1.0
0.8141246,0.525445,0.551487,0.653655,0.0
0.7263216,0.034293283,0.204586,0.315719,0.0
0.24938212,0.9884115,0.204586,0.315719,1.0
0.2392387,0.40269482,0.204586,0.653655,0.0
0.34515363,0.96712095,0.204586,0.315719,1.0
0.09260741,0.85238224,0.551487,0.653655,0.0
0.3378032,0.92993975,0.551487,0.315719,1.0
0.35379416,0.9486407,0.551487,0.653655,0.0
0.1583226,0.89666194,0.204586,0.653655,1.0
0.29206127,0.2399737,0.551487,0.653655,0.0
0.072671674,0.56352425,0.551487,0.653655,0.0
0.94755024,0.52886605,0.204586,0.315719,1.0
0.03919658,0.81906945,0.551487,0.653655,0.0
0.51913756,0.97009194,0.204586,0.653655,1.0
0.1925379,0.684632,0.551487,0.315719,0.0
0.10406821,0.07392327,0.551487,0.653655,0.0
0.26960814,0.9133621,0.551487,0.315719,1.0
0.2901818,0.037519578,0.551487,0.315719,0.0
0.2143582,0.43254232,0.551487,0.653655,0.0
0.35511172,0.99356246,0.204586,0.653655,1.0
0.16197856,0.10730163,0.204586,0.653655,1.0
0.6620557,0.20994979,0.204586,0.653655,0.0
0.42313212,0.94646025,0.551487,0.315719,1.0
0.7938527,0.5124775,0.204586,0.315719,1.0
0.6276175,0.19613728,0.551487,0.653655,0.0
0.35462904,0.94512624,0.551487,0.653655,0.0
0.24011119,0.84017974,0.204586,0.653655,1.0
0.24259408,0.92078245,0.204586,0.653655,1.0
0.14951435,0.6115219,0.551487,0.653655,0.0
0.33058274,0.003232892,0.551487,0.315719,0.0
0.33577538,0.88529336,0.204586,0.653655,1.0
0.32671282,0.4132582,0.551487,0.653655,0.0
0.37719738,0.93963873,0.551487,0.653655,0.0
0.23494379,0.62339556,0.551487,0.315719,0.0
0.3114795,0.70023316,0.551487,0.653655,0.0
0.17363393,0.78320295,0.204586,0.315719,1.0
0.69088143,0.5248803,0.204586,0.653655,0.0
0.4896514,0.52391595,0.551487,0.653655,0.0
0.37458703,0.97245973,0.204586,0.653655,1.0
0.32722628,0.792518,0.204586,0.315719,1.0
0.97302455,0.5303091,0.551487,0.315719,1.0
0.20099826,0.15774266,0.551487,0.315719,0.0
0.7313206,0.525067,0.204586,0.653655,0.0
0.8032474,0.55390024,0.551487,0.315719,1.0
0.39264938,0.90905565,0.204586,0.653655,1.0
0.380825,0.9814726,0.551487,0.315719,1.0
0.37779498,0.29681808,0.551487,0.653655,0.0
0.453261,0.47596332,0.551487,0.315719,1.0
0.35342187,0.08172831,0.551487,0.653655,0.0
0.963456,0.514356,0.204586,0.653655,0.0
0.6637994,0.4258993,0.204586,0.653655,0.0
0.3580872,0.86205775,0.551487,0.653655,0.0
0.983537,0.52630013,0.551487,0.315719,1.0
0.04606391,0.73678637,0.204586,0.315719,1.0
0.3739304,0.88665974,0.204586,0.315719,1.0
