I1,I2,T1,T2,Y
0.3773498,0.8579718,0.1651079,0.5690914,1.0
0.85538006,0.52627724,0.26031077,0.3147311,1.0
0.15091017,0.44626,0.40639243,0.12369382,0.0
0.2739489,0.0348047,0.51347655,0.6483994,0.0
0.18219002,0.6487323,0.24754445,0.41603282,1.0
0.35655963,0.054860905,0.26202312,0.38356152,0.0
0.66345066,0.5310738,0.28701028,0.78458124,0.0
0.4511806,0.24279258,0.27843693,0.5915407,0.0
0.79726976,0.5317545,0.653966,0.6813046,0.0
0.42765236,0.9815252,0.13675907,0.8191946,1.0
0.94962305,0.52468324,0.08450212,0.23149832,1.0
0.78421646,0.52945304,0.31718525,0.122030005,1.0
0.10048858,0.640224,0.664966,0.76840204,0.0
0.26395497,0.95627296,0.21341427,0.33758056,1.0
0.29282492,0.97851366,0.054640137,0.391556,1.0
0.06624386,0.10268214,0.16983837,0.12237154,0.0
0.1725228,0.7351403,0.059673198,0.15456948,1.0
0.87377435,0.5234892,0.18138577,0.6068066,0.0
0.6999626,0.5223824,0.36337546,0.4400577,1.0
0.6690195,0.45999992,0.6714351,0.6374122,0.0
0.32394186,0.9174487,0.3048388,0.8178613,1.0
0.8295821,0.5254126,0.21887101,0.6198896,0.0
0.24700035,0.9871328,0.05109363,0.31354123,1.0
0.83296365,0.5269024,0.44845858,0.3994246,1.0
0.25341526,0.32646573,0.45065793,0.29765558,0.0
0.2564022,0.61815923,0.534754,0.4860735,0.0
0.27299127,0.011881968,0.41312462,0.21203008,0.0
0.27099147,0.47396532,0.31138808,0.34888023,1.0
0.24680614,0.7654062,0.20514634,0.5075848,1.0
0.40300173,0.98962015,0.47185335,0.23108682,1.0
0.49479005,0.71352315,0.3028712,0.42404756,1.0
0.5527364,0.056384906,0.7890633,0.77144307,0.0
0.56381905,0.11674112,0.33575717,0.7983833,0.0
0.4690614,0.5378404,0.17656392,0.21745889,1.0
0.30689958,0.032923188,0.19415091,0.62492514,0.0
0.9170977,0.5292593,0.48205742,0.70936656,0.0
0.3650745,0.19238012,0.51991826,0.8009252,0.0
0.95712477,0.52768725,0.5190594,0.24851486,1.0
0.25150326,0.10504984,0.024580197,0.24860439,0.0
0.22633536,0.936846,0.490698,0.18675297,0.0
0.6320483,0.8725927,0.4500249,0.17138226,1.0
0.18077815,0.8945241,0.7234467,0.43173414,0.0
0.57479423,0.72229797,0.22501075,0.40797687,1.0
0.4158702,0.9392686,0.12104895,0.7108404,1.0
0.42462936,0.4934235,0.31975344,0.5907961,0.0
0.2335234,0.79560566,0.25418755,0.4401432,1.0
0.52010304,0.018407285,0.11247009,0.30697313,0.0
0.65704554,0.038045596,0.24352041,0.36792275,0.0
0.30057892,0.13808423,0.24008967,0.37993115,0.0
0.16468297,0.5817834,0.44119266,0.60318655,0.0
0.6311038,0.22794813,0.84645194,0.5640787,0.0
0.47062743,0.499103,0.584561,0.64891106,0.0
0.14694022,0.14906688,0.36496225,0.27889937,0.0
0.3346634,0.77196854,0.083554424,0.36311692,1.0
0.7449872,0.5106662,0.25168753,0.61239564,0.0
0.6682101,0.9871387,0.31817728,0.4196702,1.0
0.13910806,0.7755243,0.19915715,0.21733001,1.0
0.40479973,0.23456475,0.083563514,0.51926494,0.0
0.4076367,0.89870876,0.32844418,0.6400867,1.0
0.4083386,0.46088478,0.1832936,0.29847896,1.0
0.25241596,0.868583,0.7945992,0.71992373,0.0
0.07543708,0.7953623,0.82638794,0.29435235,1.0
0.26312664,0.4796979,0.102275155,0.67766225,1.0
0.75510216,0.5251463,0.5795619,0.15248898,1.0
0.49386913,0.68138164,0.3567212,0.67270076,0.0
0.7676431,0.15863173,0.23030026,0.7262497,0.0
0.3343611,0.35067907,0.42343712,0.17770667,0.0
0.20581864,0.31064275,0.24292904,0.57619303,0.0
0.16874403,0.48856714,0.34769702,0.25583905,0.0
0.7552078,0.52127284,0.15685403,0.33831775,1.0
0.80763817,0.49899185,0.1144688,0.14257404,1.0
0.774522,0.52406734,0.14994958,0.28339154,1.0
0.51892346,0.09553982,0.5538147,0.15616238,0.0
0.18307889,0.93368024,0.05646066,0.79232085,1.0
0.52008164,0.87797487,0.5027349,0.25606492,1.0
0.30079255,0.37328798,0.21691231,0.44728583,1.0
0.25386906,0.20938855,0.2646422,0.5460898,0.0
0.36419284,0.7409174,0.06910025,0.35977885,1.0
0.9288963,0.526975,0.26003698,0.5243475,0.0
0.20800851,0.81006855,0.042921837,0.6246862,1.0
0.3777416,0.4227701,0.21347567,0.48165607,0.0
0.19883788,0.016336603,0.68855554,0.738857,0.0
0.39719155,0.097796865,0.15859291,0.3242206,0.0
0.4322319,0.90744895,0.10981136,0.64339405,1.0
0.46277595,0.32717615,0.59747165,0.7285661,0.0
0.34578368,0.8625329,0.28498912,0.39980692,1.0
0.33947495,0.8781501,0.6806756,0.5216852,0.0
0.112111986,0.26303202,0.79286414,0.69774604,0.0
