I1,I2,T1,T2,Y
0.88198704,0.25370115,0.879474,0.859234,1.0
0.45837113,0.7015206,0.05857,0.242525,1.0
0.4640482,8.176914e-06,0.05857,0.242525,0.0
0.4587383,0.00016658271,0.05857,0.859234,0.0
0.9852716,0.0027334043,0.879474,0.242525,1.0
0.45024237,0.031700235,0.879474,0.242525,0.0
0.45511872,0.6043193,0.879474,0.859234,0.0
0.4396156,0.3865338,0.879474,0.859234,0.0
0.43856564,0.49544972,0.05857,0.859234,0.0
0.8476125,0.36985585,0.879474,0.859234,1.0
0.45870027,0.7104976,0.879474,0.242525,1.0
0.4581439,0.70337266,0.05857,0.242525,1.0
0.99496055,0.0006402526,0.05857,0.859234,0.0
0.96362346,0.20658757,0.05857,0.242525,1.0
0.9752622,0.21222548,0.879474,0.242525,1.0
0.4621147,7.230473e-05,0.05857,0.242525,0.0
0.89274234,0.15805116,0.879474,0.242525,1.0
0.45851004,0.6929168,0.879474,0.859234,0.0
0.44627786,0.41284925,0.879474,0.242525,1.0
0.45906538,0.00024060204,0.05857,0.859234,0.0
0.9621955,0.23842292,0.879474,0.859234,1.0
0.45834494,0.62766546,0.879474,0.859234,0.0
0.9948133,0.076237425,0.879474,0.242525,1.0
0.45854524,0.599895,0.05857,0.242525,1.0
0.39632872,0.00019309623,0.05857,0.242525,0.0
0.974621,0.008519217,0.05857,0.242525,0.0
0.4394837,9.0588195e-08,0.05857,0.242525,0.0
0.8098786,0.050462533,0.879474,0.242525,1.0
0.6439034,0.017686673,0.879474,0.859234,1.0
0.9254862,0.27506775,0.05857,0.242525,1.0
0.45016003,0.51044333,0.879474,0.242525,1.0
0.4263349,2.704546e-06,0.05857,0.859234,0.0
0.45741966,0.2824325,0.879474,0.859234,0.0
0.4415491,0.36178398,0.05857,0.242525,1.0
0.42294043,0.072664656,0.879474,0.859234,0.0
0.45829582,0.5597006,0.879474,0.859234,0.0
0.436606,4.5299467e-18,0.879474,0.859234,0.0
0.45856467,0.7191822,0.05857,0.242525,1.0
0.44219327,0.0070836954,0.879474,0.242525,0.0
0.8911773,0.0006096404,0.05857,0.242525,0.0
0.76711106,0.21971917,0.05857,0.242525,1.0
0.92743367,5.6581775e-05,0.05857,0.859234,0.0
0.9028752,0.0002073229,0.879474,0.242525,1.0
0.95336205,0.24148045,0.879474,0.859234,1.0
0.4318596,0.3843718,0.879474,0.859234,0.0
0.57418907,0.0005302295,0.879474,0.859234,1.0
0.44580296,0.025295112,0.879474,0.242525,0.0
0.43867475,0.25751758,0.879474,0.242525,0.0
0.45238385,4.3713275e-12,0.879474,0.242525,0.0
0.46217197,0.00013756199,0.05857,0.859234,0.0
0.42768306,0.34335434,0.05857,0.859234,0.0
0.43945423,0.2275718,0.05857,0.859234,0.0
0.41945052,0.00014651663,0.05857,0.242525,0.0
0.66957086,0.0033474267,0.879474,0.242525,1.0
0.4583202,0.1837891,0.879474,0.859234,0.0
0.8605174,0.2223355,0.879474,0.859234,1.0
0.7272572,8.672239e-05,0.879474,0.242525,1.0
0.4569664,1.3609082e-07,0.879474,0.859234,0.0
0.97866714,0.018453332,0.879474,0.859234,1.0
0.4392415,0.44728827,0.879474,0.242525,1.0
0.92721236,0.26997125,0.05857,0.859234,0.0
0.96559715,0.09474651,0.05857,0.242525,1.0
0.7261879,3.0615767e-05,0.879474,0.859234,1.0
0.45826918,0.6320843,0.05857,0.242525,1.0
0.45080218,0.3859736,0.879474,0.859234,0.0
0.43064183,0.08319749,0.879474,0.859234,0.0
0.73661184,0.0001428392,0.879474,0.242525,0.0
0.45446417,1.924964e-15,0.879474,0.242525,0.0
0.9829829,4.8781104e-09,0.05857,0.242525,0.0
0.45136395,0.41330925,0.879474,0.242525,1.0
0.44463563,0.56170624,0.879474,0.242525,1.0
0.4585512,0.53876644,0.879474,0.242525,1.0
0.43801364,0.0005809261,0.05857,0.242525,0.0
0.90251344,0.00013642968,0.879474,0.859234,1.0
0.47534525,0.58323807,0.05857,0.242525,1.0
0.6248264,0.085258126,0.879474,0.242525,1.0
0.45854363,0.012037136,0.879474,0.242525,0.0
0.9189116,0.1389328,0.879474,0.242525,1.0
0.4580977,0.71253425,0.879474,0.859234,0.0
0.9887892,0.028153373,0.879474,0.859234,1.0
0.45048127,0.09849114,0.879474,0.242525,0.0
0.4125028,0.00045807834,0.05857,0.859234,0.0
0.4536208,9.614262e-09,0.879474,0.242525,0.0
0.8002068,0.23729838,0.879474,0.859234,1.0
0.46184164,0.00012797498,0.05857,0.859234,0.0
0.98256034,0.052516807,0.879474,0.859234,1.0
0.7851761,0.3033009,0.05857,0.859234,0.0
0.4231378,0.00038360947,0.05857,0.859234,0.0
0.45114663,0.47348967,0.879474,0.242525,1.0
0.45836464,0.5616803,0.879474,0.859234,0.0
0.9481442,0.28241208,0.879474,0.242525,1.0
0.9885875,0.013882136,0.05857,0.242525,0.0
0.45801315,0.00013379112,0.05857,0.242525,0.0
0.9562101,0.00717048,0.879474,0.242525,1.0
0.43001994,0.2954908,0.879474,0.242525,1.0
0.45806086,0.55104846,0.05857,0.859234,0.0
0.7232479,0.0038309419,0.879474,0.859234,0.0
0.8739689,1.1392667e-05,0.05857,0.242525,0.0
0.446583,1.299248e-07,0.05857,0.859234,0.0
0.4599068,3.0451893e-16,0.879474,0.242525,0.0
0.4607661,4.4664163e-14,0.05857,0.859234,0.0
0.9590014,0.052447345,0.879474,0.859234,1.0
0.96785694,0.07438919,0.05857,0.859234,0.0
0.56114477,0.0003121173,0.879474,0.859234,1.0
0.9686771,0.008803716,0.879474,0.859234,1.0
0.44902626,0.50419056,0.05857,0.242525,1.0
0.9608723,0.14631577,0.05857,0.859234,0.0
0.5743984,2.3267663e-05,0.05857,0.859234,0.0
0.9328194,0.21560945,0.879474,0.242525,1.0
0.9334701,0.24707967,0.879474,0.859234,1.0
0.987535,0.27893427,0.05857,0.242525,1.0
0.44982845,0.5125515,0.879474,0.859234,0.0
0.9584662,0.35515118,0.879474,0.242525,1.0
0.45169228,0.5696318,0.879474,0.859234,0.0
0.93454516,0.34604624,0.05857,0.859234,0.0
0.45023465,0.0008211053,0.879474,0.859234,0.0
