I1,I2,T1,T2,Y
0.88198704,0.25370115,0.99863833,0.94006175,1.0
0.45837113,0.7015206,0.2171614,0.068535924,1.0
0.4640482,8.176914e-06,0.013332785,0.089104,0.0
0.4587383,0.00016658271,0.016294083,0.88938856,0.0
0.9852716,0.0027334043,0.65900904,0.3753559,1.0
0.45024237,0.031700235,0.86929554,0.54910636,0.0
0.45511872,0.6043193,0.9983846,0.99887747,0.0
0.4396156,0.3865338,0.8727247,0.9220454,0.0
0.43856564,0.49544972,0.01822429,0.9784153,0.0
0.8476125,0.36985585,0.99988425,0.9996007,1.0
0.45870027,0.7104976,0.9973911,0.13460377,1.0
0.4581439,0.70337266,0.000964964,0.028393907,1.0
0.99496055,0.0006402526,0.06364905,0.99510646,0.0
0.96362346,0.20658757,0.6613548,0.053146187,1.0
0.9752622,0.21222548,0.99923015,0.1100053,1.0
0.4621147,7.230473e-05,0.4806179,0.14703485,0.0
0.89274234,0.15805116,0.9877313,0.0870474,1.0
0.45851004,0.6929168,0.98933977,0.9677585,0.0
0.44627786,0.41284925,0.7937468,0.37219995,1.0
0.45906538,0.00024060204,0.021760954,0.64241374,0.0
0.9621955,0.23842292,0.99424547,0.9993292,1.0
0.45834494,0.62766546,0.9488949,0.9880382,0.0
0.9948133,0.076237425,0.9997929,0.12952764,1.0
0.45854524,0.599895,0.0988899,0.3131167,1.0
0.39632872,0.00019309623,0.024063786,0.23067796,0.0
0.974621,0.008519217,0.0075037563,0.37482125,0.0
0.4394837,9.0588195e-08,0.0064095277,0.16410203,0.0
0.8098786,0.050462533,0.7000307,0.29273972,1.0
0.6439034,0.017686673,0.98725164,0.33884308,1.0
0.9254862,0.27506775,0.023653794,0.122429945,1.0
0.45016003,0.51044333,0.52159464,0.6901185,1.0
0.4263349,2.704546e-06,0.002116651,0.9960342,0.0
0.45741966,0.2824325,0.8846709,0.9891549,0.0
0.4415491,0.36178398,0.11636782,0.07100576,1.0
0.42294043,0.072664656,0.9985014,0.955333,0.0
0.45829582,0.5597006,0.81035364,0.9877785,0.0
0.436606,4.5299467e-18,0.7532552,0.9990702,0.0
0.45856467,0.7191822,0.002810621,0.18623352,1.0
0.44219327,0.0070836954,0.99999,0.16656375,0.0
0.8911773,0.0006096404,0.005348428,0.13595495,0.0
0.76711106,0.21971917,0.00012209633,0.10209907,1.0
0.92743367,5.6581775e-05,0.00029218316,0.6627226,0.0
0.9028752,0.0002073229,0.9389845,0.34831747,1.0
0.95336205,0.24148045,0.99856997,0.97763556,1.0
0.4318596,0.3843718,0.9955752,0.9786047,0.0
0.57418907,0.0005302295,0.96600145,0.63752174,1.0
0.44580296,0.025295112,0.98952615,0.20143414,0.0
0.43867475,0.25751758,0.9173462,0.26430807,0.0
0.45238385,4.3713275e-12,0.9353248,0.45126438,0.0
0.46217197,0.00013756199,0.3391455,0.5024837,0.0
0.42768306,0.34335434,1.5852439e-06,0.9815647,0.0
0.43945423,0.2275718,0.0493783,0.9462875,0.0
0.41945052,0.00014651663,0.03523897,0.08260616,0.0
0.66957086,0.0033474267,0.99932265,0.5331775,1.0
0.4583202,0.1837891,0.98392534,0.9667956,0.0
0.8605174,0.2223355,0.9614673,0.39683145,1.0
0.7272572,8.672239e-05,0.94947654,0.16651766,1.0
0.4569664,1.3609082e-07,0.99933356,0.6875207,0.0
0.97866714,0.018453332,0.88052756,0.77216095,1.0
0.4392415,0.44728827,0.9949627,0.1468706,1.0
0.92721236,0.26997125,0.0003040498,0.9688431,0.0
0.96559715,0.09474651,7.022847e-07,0.76549697,1.0
0.7261879,3.0615767e-05,0.99934644,0.992438,1.0
0.45826918,0.6320843,0.0001319827,0.13474934,1.0
0.45080218,0.3859736,0.79853094,0.75271374,0.0
0.43064183,0.08319749,0.9633385,0.9263889,0.0
0.73661184,0.0001428392,0.07009053,0.21405469,0.0
0.45446417,1.924964e-15,0.96333915,0.15082099,0.0
0.9829829,4.8781104e-09,0.017280146,0.2129355,0.0
0.45136395,0.41330925,0.98804957,0.14827624,1.0
0.44463563,0.56170624,0.49971253,0.1094431,1.0
0.4585512,0.53876644,0.9304627,0.17506908,1.0
0.43801364,0.0005809261,0.00029721513,0.12402787,0.0
0.90251344,0.00013642968,0.9999274,0.9987791,1.0
0.47534525,0.58323807,0.0071765385,0.19630325,1.0
0.6248264,0.085258126,0.92856264,0.14362767,1.0
0.45854363,0.012037136,0.7258326,0.34973183,0.0
0.9189116,0.1389328,0.99943846,0.5466758,1.0
0.4580977,0.71253425,0.6474046,0.5779235,0.0
0.9887892,0.028153373,0.9999826,0.9244744,1.0
0.45048127,0.09849114,0.94637996,0.30466035,0.0
0.4125028,0.00045807834,0.010114553,0.99240375,0.0
0.4536208,9.614262e-09,0.9862716,0.21628226,0.0
0.8002068,0.23729838,0.9953496,0.9455876,1.0
0.46184164,0.00012797498,0.013095382,0.91662145,0.0
0.98256034,0.052516807,0.83706313,0.8536208,1.0
0.7851761,0.3033009,0.00031503596,0.8930042,0.0
0.4231378,0.00038360947,0.00018290315,0.9551993,0.0
0.45114663,0.47348967,0.7257279,0.21273649,1.0
0.45836464,0.5616803,0.971857,0.99909234,0.0
0.9481442,0.28241208,0.9997265,0.26453987,1.0
0.9885875,0.013882136,0.15553142,0.12793766,0.0
0.45801315,0.00013379112,0.0016877,0.26863703,0.0
0.9562101,0.00717048,0.9929547,0.09248082,1.0
0.43001994,0.2954908,0.9887233,0.12201828,1.0
0.45806086,0.55104846,0.025455382,0.7304156,0.0
0.7232479,0.0038309419,0.06390422,0.92445415,0.0
0.8739689,1.1392667e-05,0.09051877,0.24618523,0.0
0.446583,1.299248e-07,0.06496524,0.964035,0.0
0.4599068,3.0451893e-16,0.17967753,0.14667198,0.0
0.4607661,4.4664163e-14,0.0006394053,0.6305176,0.0
0.9590014,0.052447345,0.99055016,0.8581503,1.0
