tab_fts_col_1,tab_fts_col_2,tab_fts_col_3,tab_fts_col_4,tab_fts_col_5,tab_fts_col_6,tab_fts_col_7,tab_fts_col_8,tab_fts_col_9,tab_fts_col_10,T1,T2
0.5490697,0.43266833,0.04591842,0.5245757,0.7675552,0.7728321,0.7339528,0.20341134,0.07320846,0.16904788,0.99863833,0.94006175
0.41678175,0.31829426,0.642854,0.43103468,0.10398209,0.21567556,0.50044525,0.7891842,0.009743265,0.6124273,0.2171614,0.068535924
0.28928196,0.58231294,0.77079135,0.68957865,0.14710847,0.64239174,0.0034182896,0.39269677,0.46102786,0.7955568,0.013332785,0.089104
0.27528778,0.53775096,0.8807689,0.48413974,0.59270823,0.055536434,0.96465397,0.49242723,0.16027042,0.33897096,0.016294083,0.88938856
0.44969442,0.28469408,0.15486942,0.78383666,0.7149324,0.14594789,0.63276565,0.79255515,0.77333224,0.0922796,0.65900904,0.3753559
0.5480513,0.65421957,0.22208485,0.91912735,0.8597359,0.7871433,0.025481023,0.19452715,0.91669744,0.80905396,0.86929554,0.54910636
0.18326178,0.54543245,0.29310578,0.12380606,0.85159296,0.57767886,0.5788293,0.54533476,0.1844681,0.56863314,0.9983846,0.99887747
0.19218129,0.70075095,0.46207228,0.033295285,0.081263535,0.92942834,0.74454266,0.5460098,0.2094648,0.0063561397,0.8727247,0.9220454
0.3828533,0.039126113,0.38213575,0.4245098,0.8616377,0.7991832,0.19996658,0.83902925,0.24792723,0.34193414,0.01822429,0.9784153
0.4278382,0.7601595,0.23417582,0.1751864,0.9762943,0.638201,0.6572875,0.8778379,0.027034402,0.28588837,0.99988425,0.9996007
0.32394,0.88894004,0.6297694,0.70831203,0.28048036,0.048192732,0.4538918,0.640611,0.33523,0.95272434,0.9973911,0.13460377
0.054266393,0.14384705,0.7844133,0.22867231,0.093323514,0.14180872,0.14143221,0.8438239,0.5899425,0.79234904,0.000964964,0.028393907
0.0281431,0.6880236,0.93723863,0.2112512,0.87837964,0.5242688,0.07570046,0.8734763,0.4721822,0.95957464,0.06364905,0.99510646
0.18581675,0.104736105,0.11655861,0.35763904,0.004654837,0.42485392,0.6641971,0.4016882,0.0857946,0.062688865,0.6613548,0.053146187
0.78354126,0.9540073,0.33768353,0.6045557,0.0019039153,0.36450005,0.36998487,0.91027975,0.33600304,0.76907945,0.99923015,0.1100053
0.26717508,0.875978,0.88826895,0.9662971,0.26264566,0.1758216,0.52482784,0.34435853,0.39813137,0.45239097,0.4806179,0.14703485
0.6645011,0.86768717,0.33757055,0.87576514,0.1170531,0.23796068,0.90160674,0.5085099,0.6081924,0.038018234,0.9877313,0.0870474
0.43666348,0.3760084,0.033794317,0.23682703,0.54644877,0.8769434,0.3137977,0.7014228,0.94009775,0.17936689,0.98933977,0.9677585
0.36747533,0.7068718,0.6495342,0.9279762,0.8668609,0.8161507,0.91145086,0.27633715,0.36952356,0.3798939,0.7937468,0.37219995
0.77676046,0.32998726,0.49284905,0.63849366,0.9496947,0.9939356,0.79184026,0.6049395,0.99584097,0.83632684,0.021760954,0.64241374
0.10481258,0.8143356,0.601774,0.033013478,0.7884911,0.39333943,0.3141129,0.5150483,0.67156035,0.92484635,0.99424547,0.9993292
0.16932048,0.29649097,0.014614721,0.48364535,0.9698255,0.28153092,0.6698276,0.84428114,0.93945605,0.025326332,0.9488949,0.9880382
0.20082428,0.5033223,0.018992988,0.9639676,0.5189638,0.052571513,0.68205386,0.26888806,0.106767595,0.83030367,0.9997929,0.12952764
0.9419721,0.5932379,0.65081954,0.42599356,0.13568898,0.47046345,0.72311443,0.51015115,0.60454917,0.7974204,0.0988899,0.3131167
0.6609045,0.39237723,0.7419677,0.85039145,0.37203443,0.67416555,0.69364816,0.3798301,0.035591576,0.48258108,0.024063786,0.23067796
0.49902338,0.2282556,0.6189803,0.29956797,0.18604141,0.8987199,0.43582246,0.94292754,0.41472006,0.010588026,0.0075037563,0.37482125
0.8433548,0.3262644,0.85206646,0.88832796,0.26652646,0.17065622,0.75697875,0.5777353,0.1078632,0.3995056,0.0064095277,0.16410203
0.4181092,0.17295136,0.10721075,0.8173391,0.47314298,0.8822837,0.7332891,0.4097262,0.37351102,0.51563835,0.7000307,0.29273972
0.97382224,0.7710237,0.39265832,0.6001054,0.60945433,0.7654187,0.581098,0.3864407,0.6814581,0.2401015,0.98725164,0.33884308
0.881954,0.1560406,0.34787673,0.5827247,0.080969624,0.8922531,0.96592444,0.5381835,0.827911,0.49168402,0.023653794,0.122429945
0.13604334,0.27566534,0.23958004,0.7342962,0.7169751,0.58448297,0.0913338,0.5662618,0.07923703,0.018173018,0.52159464,0.6901185
0.7558083,0.22567745,0.597921,0.025109539,0.8344984,0.18744475,0.0047683776,0.3011878,0.9204871,0.26261422,0.002116651,0.9960342
0.2338375,0.7649087,0.7221116,0.117748305,0.5926549,0.08805003,0.9691243,0.33923963,0.02026115,0.503615,0.8846709,0.9891549
0.015557877,0.14471228,0.36871445,0.8322245,0.3043159,0.057871893,0.37873527,0.24125415,0.056059938,0.39892426,0.11636782,0.07100576
0.025791163,0.5401596,0.15380318,0.51122016,0.7712526,0.4130536,0.5968649,0.54643893,0.57760584,0.47811714,0.9985014,0.955333
0.7920766,0.6730571,0.43920198,0.5046854,0.89605224,0.8776741,0.17908351,0.8490095,0.5097389,0.10611795,0.81035364,0.9877785
0.16469416,0.6214784,0.5772286,0.23789282,0.934214,0.6139659,0.5356328,0.58991,0.730122,0.311945,0.7532552,0.9990702
0.42851108,0.6211793,0.839958,0.4490439,0.21768278,0.376607,0.15055138,0.08489922,0.37587634,0.62569857,0.002810621,0.18623352
0.21804571,0.9669267,0.07969249,0.76110834,0.20171882,0.1168877,0.55902594,0.3170223,0.22251995,0.4391233,0.99999,0.16656375
0.13612731,0.02557656,0.4031957,0.77506024,0.34842366,0.85028815,0.66337,0.7088992,0.5169184,0.5893906,0.005348428,0.13595495
0.56859034,0.2485824,0.8199826,0.46088552,0.010879471,0.15329675,0.42175627,0.07761136,0.64334947,0.19732636,0.00012209633,0.10209907
0.26590654,0.4144471,0.93821627,0.56709033,0.6814335,0.74549717,0.44671434,0.43080947,0.47020432,0.8620197,0.00029218316,0.6627226
0.14282453,0.8649374,0.7534954,0.9643692,0.791743,0.58252126,0.91716754,0.6542627,0.3101297,0.17550342,0.9389845,0.34831747
0.997994,0.9878892,0.603323,0.12802087,0.5831928,0.0020646355,0.19891134,0.9561232,0.33044058,0.6383901,0.99856997,0.97763556
