tab_fts_col_1,tab_fts_col_2,tab_fts_col_3,tab_fts_col_4,tab_fts_col_5,tab_fts_col_6,tab_fts_col_7,tab_fts_col_8,tab_fts_col_9,tab_fts_col_10,T1,T2
0.7721024,0.12992486,0.98673445,0.4671117,0.7730167,0.35241634,0.48813677,0.96486425,0.69026214,0.02565322,2.5606982e-06,0.030703831
0.41308612,0.71005833,0.7898695,0.3172602,0.9792702,0.6496565,0.8809981,0.5559377,0.74160314,0.77054405,0.06178465,0.0038203294
0.28030923,0.0979188,0.5012363,0.92323184,0.6186408,0.20882663,0.68242955,0.76836115,0.32076055,0.5592094,0.0071188905,0.7807537
0.5894016,0.6562981,0.3251302,0.50062877,0.10106348,0.84704447,0.95241666,0.9018386,0.044753633,0.8528736,0.9976446,0.68270254
0.42802772,0.49918184,0.4478476,0.004474627,0.65242887,0.25739276,0.044658825,0.50346863,0.92054737,0.029440284,0.71217966,0.010937126
0.12230211,0.2789979,0.63558435,0.25975364,0.0020838787,0.70121455,0.19307858,0.32495555,0.28393644,0.1523692,0.0003378718,0.7989336
0.8671672,0.029190235,0.5349169,0.40424362,0.52418387,0.36509988,0.19056691,0.019122897,0.5181498,0.84277683,0.0004413167,0.3089336
0.93786436,0.6211403,0.097810164,0.8843604,0.7691555,0.71187043,0.053733546,0.39622274,0.16743582,0.8219039,0.99934787,0.3365497
0.61753523,0.9065601,0.31293598,0.7878929,0.76505256,0.35531452,0.7214717,0.093617424,0.23258118,0.20990176,0.9998449,0.7061181
0.98353857,0.40884268,0.5736796,0.73729116,0.22519843,0.26969793,0.7388254,0.80714476,0.20059647,0.30873913,0.046380665,0.69123155
0.9951669,0.55225617,0.24078684,0.51989645,0.7360322,0.4766677,0.2723102,0.822093,0.8291149,0.5506479,0.990776,0.11308976
0.015446074,0.64708835,0.50589603,0.9540597,0.16307402,0.38377672,0.85729754,0.51409537,0.8146243,0.5074254,0.9908558,0.87612885
0.84772474,0.76066667,0.38627738,0.84120923,0.63744855,0.6234594,0.10391813,0.40820476,0.07141437,0.40091273,0.99862087,0.44053647
0.9563702,0.16975416,0.2928217,0.46547812,0.8564069,0.011246459,0.7710081,0.5665565,0.8768848,0.14734131,0.0344121,0.023090769
0.50078374,0.9298209,0.69428617,0.34008673,0.30384356,0.66128653,0.088804655,0.36541018,0.47867778,0.7605175,0.98595726,0.21505372
0.6287131,0.22485568,0.79809153,0.053800564,0.58211535,0.43915963,0.75040686,0.023768133,0.3867855,0.4770944,5.986383e-05,0.0105018085
0.67486405,0.692858,0.9217663,0.3119773,0.4371067,0.61167216,0.4979883,0.43523103,0.8945804,0.80322933,0.0117433835,0.118414804
0.93976974,0.01702024,0.02713321,0.3620688,0.87531537,0.56692445,0.035134576,0.8403504,0.16218118,0.37599796,0.4715575,0.041180972
0.8407731,0.126943,0.49252817,0.10731463,0.6429923,0.5487718,0.03994729,0.7507775,0.531733,0.45287383,0.0020017647,0.03628317
0.8167257,0.60718066,0.95748854,0.7088829,0.112751506,0.55841005,0.7181865,0.80195725,0.026321335,0.7188789,0.0022362703,0.73810816
0.53836846,0.5724502,0.22477733,0.84773934,0.56139874,0.713246,0.9818642,0.42819867,0.8810666,0.0072810138,0.9992017,0.72563
0.87487,0.5203776,0.97731066,0.43774977,0.2497286,0.8682288,0.8820211,0.059383508,0.73678374,0.335133,0.00030021166,0.53118503
0.36237758,0.27968466,0.47812024,0.25573352,0.33951142,0.44037634,0.84350085,0.93051064,0.82974136,0.52569973,0.008501723,0.07471761
0.4268195,0.26810926,0.13159685,0.03921054,0.025231827,0.2715503,0.46185344,0.72624326,0.4748717,0.9040508,0.97356534,0.63724285
0.18115096,0.7885455,0.056848075,0.6969972,0.7786954,0.7774076,0.25942257,0.37381315,0.58759964,0.2728219,0.9999924,0.13228948
0.8795215,0.5200814,0.030661048,0.22441362,0.9536757,0.58231974,0.10747257,0.2875445,0.45670363,0.02095007,0.9998766,0.005545072
0.1312972,0.4859146,0.2859047,0.87386566,0.045854714,0.37444547,0.50586504,0.7977107,0.9338633,0.92993456,0.9936213,0.8844149
0.56942457,0.30076727,0.6932826,0.8712766,0.4241098,0.9920665,0.55543566,0.8926243,0.48767203,0.3411523,0.0014733135,0.47951233
0.99655074,0.9921171,0.1794204,0.7954125,0.6598241,0.7264679,0.9909005,0.83661926,0.39151728,0.9374656,0.99999964,0.6236831
0.24521503,0.07528678,0.6737061,0.42896563,0.24735257,0.26882103,0.91042376,0.550176,0.2537027,0.5129402,0.00011262853,0.6900871
0.3092779,0.4168507,0.905999,0.42594776,0.9127443,0.80540085,0.28837833,0.318089,0.36984423,0.6056472,0.00032601343,0.023520708
0.5754224,0.023554439,0.96444917,0.99996203,0.22699034,0.3572537,0.3284021,0.24784075,0.10957504,0.6889381,1.2024784e-06,0.8682282
